condition,benchmark,task,rep,candidate,original_status,original_verdict,cross_verifier,cross_verdict,agree,reason,original_passed
securebench,terminal-bench,raman-fitting,1,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,rstan-to-pystan,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,sqlite-db-truncate,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,vulnerable-secret,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,write-compressor,1,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,bn-fit-modify,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,cancel-async-tasks,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,chess-best-move,2,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,code-from-image,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,constraints-scheduling,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,count-dataset-tokens,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,crack-7z-hash,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,db-wal-recovery,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,distribution-search,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,dna-assembly,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,dna-insert,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,extract-moves-from-video,2,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,feal-linear-cryptanalysis,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,financial-document-processor,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,fix-git,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gcode-to-text,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,git-leak-recovery,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gpt2-codegolf,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,headless-terminal,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,hf-model-inference,2,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,kv-store-grpc,2,securebench-captured,passed,pass,native,fail,no,,True
securebench,terminal-bench,log-summary-date-ranges,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,mteb-leaderboard,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,mteb-retrieve,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,protein-assembly,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,raman-fitting,2,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,rstan-to-pystan,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,sqlite-db-truncate,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,vulnerable-secret,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,write-compressor,2,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,bn-fit-modify,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,cancel-async-tasks,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,chess-best-move,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,code-from-image,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,constraints-scheduling,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,count-dataset-tokens,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,crack-7z-hash,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,db-wal-recovery,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,distribution-search,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,dna-assembly,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,dna-insert,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,extract-moves-from-video,3,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,feal-linear-cryptanalysis,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,financial-document-processor,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,fix-git,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gcode-to-text,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,git-leak-recovery,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,gpt2-codegolf,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,headless-terminal,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,hf-model-inference,3,securebench,failed,fail,,n/a,n/a,no stored candidate,False
securebench,terminal-bench,kv-store-grpc,3,securebench-captured,passed,pass,native,fail,no,,True
securebench,terminal-bench,log-summary-date-ranges,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,mteb-leaderboard,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,mteb-retrieve,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,protein-assembly,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,raman-fitting,3,securebench-captured,failed,fail,native,fail,yes,,False
securebench,terminal-bench,rstan-to-pystan,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,sqlite-db-truncate,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,vulnerable-secret,3,securebench-captured,passed,pass,native,pass,yes,,True
securebench,terminal-bench,write-compressor,3,securebench-captured,passed,pass,native,pass,yes,,True
